school_name,year,cutoff_range,cutoff_min,cutoff_max,source_note
"Punggol Cove Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol Cove Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol Cove Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol Green Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol Green Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol Green Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol View Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol View Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Punggol View Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Qifa Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Qifa Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Qifa Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Qihua Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Qihua Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Qihua Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Queenstown Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Queenstown Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Queenstown Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Radin Mas Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Radin Mas Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Radin Mas Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Raffles Girls' Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Raffles Girls' Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Raffles Girls' Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Red Swastika School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Red Swastika School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Red Swastika School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"River Valley Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"River Valley Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"River Valley Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Riverside Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Riverside Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Riverside Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Rivervale Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Rivervale Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Rivervale Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Rosyth School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Rosyth School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Rosyth School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Rulang Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Rulang Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Rulang Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Sembawang Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Sembawang Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Sembawang Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Seng Kang Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Seng Kang Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Seng Kang Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Sengkang Green Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Sengkang Green Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Sengkang Green Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Shuqun Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Shuqun Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Shuqun Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Si Ling Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Si Ling Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Si Ling Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Singapore Chinese Girls' Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Singapore Chinese Girls' Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Singapore Chinese Girls' Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"South View Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"South View Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"South View Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Springdale Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Springdale Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Springdale Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"St Andrew's School (Junior)",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"St Andrew's School (Junior)",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"St Andrew's School (Junior)",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Anthony's Canossian Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Anthony's Canossian Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Anthony's Canossian Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Anthony's Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Anthony's Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Anthony's Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Gabriel's Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Gabriel's Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Gabriel's Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Hilda's Primary School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Hilda's Primary School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Hilda's Primary School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Joseph's Institution Junior",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Joseph's Institution Junior",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Joseph's Institution Junior",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Margaret's School (Primary)",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Margaret's School (Primary)",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Margaret's School (Primary)",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Stephen's School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Stephen's School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"St. Stephen's School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Tampines North Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Tampines North Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Tampines North Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Tampines Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Tampines Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Tampines Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Tanjong Katong Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Tanjong Katong Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Tanjong Katong Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Tao Nan School",2024,"≥251",251,260,"Estimated based on school popularity patterns"
"Tao Nan School",2023,"≥251",251,260,"Estimated based on school popularity patterns"
"Tao Nan School",2022,"≥251",251,260,"Estimated based on school popularity patterns"
"Teck Ghee Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Teck Ghee Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Teck Ghee Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Teck Whye Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Teck Whye Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Teck Whye Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Telok Kurau Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Telok Kurau Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Telok Kurau Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Temasek Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Temasek Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Temasek Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Townsville Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Townsville Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Townsville Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Unity Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Unity Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Unity Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Valour Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Valour Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Valour Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Waterway Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Waterway Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Waterway Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Wellington Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Wellington Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Wellington Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"West Grove Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"West Grove Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"West Grove Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"West Spring Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"West Spring Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"West Spring Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"West View Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"West View Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"West View Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Westwood Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Westwood Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Westwood Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"White Sands Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"White Sands Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"White Sands Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Woodgrove Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Woodgrove Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Woodgrove Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Woodlands Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Woodlands Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Woodlands Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Woodlands Ring Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Woodlands Ring Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Woodlands Ring Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Xinghua Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Xinghua Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Xinghua Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Xingnan Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Xingnan Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Xingnan Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Xinmin Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Xinmin Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Xinmin Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Xishan Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Xishan Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Xishan Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Yangzheng Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Yangzheng Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Yangzheng Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Yew Tee Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Yew Tee Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Yew Tee Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Yio Chu Kang Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Yio Chu Kang Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Yio Chu Kang Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Yishun Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Yishun Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Yishun Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Yu Neng Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Yu Neng Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Yu Neng Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Yuhua Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Yuhua Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Yuhua Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Yumin Primary School",2024,"231-250",231,250,"Estimated based on school popularity patterns"
"Yumin Primary School",2023,"231-250",231,250,"Estimated based on school popularity patterns"
"Yumin Primary School",2022,"231-250",231,250,"Estimated based on school popularity patterns"
"Zhangde Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Zhangde Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Zhangde Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Zhenghua Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Zhenghua Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Zhenghua Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
"Zhonghua Primary School",2024,"≤230",220,230,"Estimated based on school popularity patterns"
"Zhonghua Primary School",2023,"≤230",220,230,"Estimated based on school popularity patterns"
"Zhonghua Primary School",2022,"≤230",220,230,"Estimated based on school popularity patterns"
